Date	Time	Location	Population	Lek	Species	Racap?	Band #	Color Band Combo	Age	Sex
3/9/17	11:47	Chiriqui Grande	10	1	Vit	N	62	L_or/0 R_bw/a	D	M
3/9/17	11:47	Chiriqui Grande	10	1	Vit	N	63	L_w/0 R_bw/a	D	M
3/9/17	1:12	Chiriqui Grande	10	1	Vit	N	64	L_g/0 R_bw/a	U	F
3/9/17	1:12	Chiriqui Grande	10	1	Vit	N	65	L_n/0 R_bw/a	D	M
3/9/17	2:45	Chiriqui Grande	10	1	Vit	N	66	L_r/0 R_bw/a	D	M
3/9/17	2:45	Chiriqui Grande	10	1	Vit	N	67	L_ltb/0 R_bw/a	U	G
3/9/17	2:45	Chiriqui Grande	10	1	Vit	N	68	L_bk/0 R_r/a	J	M
3/9/17	4:00	Chiriqui Grande	10	1	Vit	N	69	L_or/0 R_r/a	J	M
3/9/17	4:00	Chiriqui Grande	10	1	Vit	N	70	L_w/0 R_r/a	U	G
3/13/17	10:37	San San Drury	2	1	Can	N	84	L_g/g R_g/a	D	M
3/13/17	11:26	San San Drury	2	1	Can	N	85	L_n/n R_n/a	D	M
3/13/17	11:26	San San Drury	2	1	Can	N	86	L_bw/bw R_bw/a	D	M
3/13/17	1:11	San San Drury	2	1	Can	N	87	L_r/r R_r/a	D	M
3/13/17	2:02	San San Drury	2	1	Can	N	88	L_ltb/ltb R_ltb/a	D	M
3/13/17	3:02	San San Drury	2	1	Can	N	89	L_or/or R_bk/a	D	M
3/13/17	3:02	San San Drury	2	1	Can	N	90	L_w/w R_bk/a	D	M
3/15/17	11:23	Chiriqui Grande	10	2	Vit	N	91	L_g/g R_bk/a	D	M
3/15/17	11:39	Chiriqui Grande	10	2	Vit	N	92	L_n/n R_bk/a	D	M
3/15/17	1:39	Chiriqui Grande	10	2	Vit	N	93	L_bw/bw R_bk/a	U	G
3/16/17	11:34	Chiriqui Grande	10	2	Vit	N	94	L_r/r R_bk/a	D	M
3/17/17	9:57	Palma Real	9	1	Hyb	N	95	L_ltb/ltb R_bk/a	J	M
3/17/17	9:57	Palma Real	9	1	Hyb	N	96	L_bk/bk R_or/a	D	M
3/17/17	12:07	Palma Real	9	1	Hyb	N	97	L_w/w R_or/a	D	M
3/17/17	12:53	Palma Real	9	1	Hyb	N	98	L_g/g R_or/a	D	M
3/17/17	12:56	Palma Real	9	1	Hyb	N	99	L_n/n R_or/a	U	G
3/17/17	1:53	Palma Real	9	1	Hyb	N	100	L_bw/bw R_or/a	U	G
3/17/17	2:49	Palma Real	9	1	Hyb	N	101	L_r/r R_or/a	D	M
3/17/17	2:50	Palma Real	9	1	Hyb	R	98	L_g/g R_or/a	D	M
3/17/17	2:50	Palma Real	9	1	Hyb	R	99	L_n/n R_or/a	U	G
3/17/17	3:50	Palma Real	9	1	Hyb	R	99	L_n/n R_or/a	U	G
